cd_nom	Nom_Latin	Nom_FR
77580	Algyroides fitzingeri (Wiegmann, 1834) 	Algyroïde de Fitzinger 
189172	Anguis Linnaeus, 1758 	Orvet 
77490	Anguis fragilis Linnaeus, 1758 	Orvet fragile 
719483	Anguis veronensis Pollini, 1818 	Orvet de Vérone (L') 
77614	Archaeolacerta bedriagae (Camerano, 1885) 	Lézard de Bedriaga 
77871	Chalcides striatus (Cuvier, 1829) 	Seps strié 
191163	Coronella Laurenti, 1768 	Coronelle 
77955	Coronella austriaca Laurenti, 1768 	Coronelle lisse 
77963	Coronella girondica (Daudin, 1803) 	Coronelle girondine, Coronelle bordelaise 
77949	Hierophis viridiflavus (Lacepède, 1789) 	Couleuvre verte et jaune 
193772	Lacerta Linnaeus, 1758 	Lézard 
77600	Lacerta agilis Linnaeus, 1758 	Lézard des souches 
77619	Lacerta bilineata Daudin, 1802 	Lézard à deux raies 
78039	Malpolon monspessulanus (Hermann, 1804) 	Couleuvre de Montpellier 
195079	Natrix Laurenti, 1768 	Natrix 
816906	Natrix astreptophora (Seoane, 1884) 	Couleuvre astreptophore 
851674	Natrix helvetica (Lacepède, 1789) 	Couleuvre helvétique 
78048	Natrix maura (Linnaeus, 1758) 	Couleuvre vipérine 
196473	Podarcis Wagler, 1830 	Podarcis 
444444	Podarcis liolepis (Boulenger, 1905) 	Lézard catalan 
77756	Podarcis muralis (Laurenti, 1768) 	Lézard des murailles 
444451	Podarcis siculus (Rafinesque-Schmaltz, 1810) 	Lézard sicilien, Lézard des ruines 
77811	Podarcis tiliguerta (Gmelin, 1789) 	Lézard tyrrhénien 
196717	Psammodromus Fitzinger, 1826 	Psammodrome 
77836	Psammodromus algirus (Linnaeus, 1758) 	Psammodrome algire 
699479	Psammodromus edwarsianus (An. Dugès, 1829) 	Psammodrome d'Edwards, Psammodromme cendré 
186278	Squamata Merrem, 1820 	Squamates 
79273	Timon lepidus (Daudin, 1802) 	Lézard ocellé 
701821	Vipera Garsault, 1764 	Vipère 
78130	Vipera aspis (Linnaeus, 1758) 	Vipère aspic 
78141	Vipera berus (Linnaeus, 1758) 	Vipère péliade 
444445	Zamenis Wagler, 1830 	Zaménis 
444446	Zamenis longissimus (Laurenti, 1768) 	Couleuvre d'Esculape 
819820	Zamenis scalaris (Schinz, 1822) 	Couleuvre à échelons 
79278	Zootoca vivipara (Lichtenstein, 1823) 	Lézard vivipare 
77433	Testudo hermanni	La Tortue d’Hermann
77412	Mauremys leprosa	L’Émyde lépreuse
77381	Emys orbicularis	La Cistude d’Europe
77424	Trachemys scripta	La Trachémyde écrite, La tortue de Floride
