cd_nom,nom_vern,lb_nom
3984,Accenteur alpin,Prunella collaris
3978,Accenteur mouchet,Prunella modularis
2645,Aigle royal,Aquila chrysaetos
3676,Alouette des champs,Alauda arvensis
4603,Bec-croisé des sapins,Loxia curvirostra
3755,Bergeronnette des ruisseaux,Motacilla cinerea
3941,Bergeronnette grise,Motacilla alba
4619,Bouvreuil pivoine,Pyrrhula pyrrhula
4663,Bruant fou,Emberiza cia
4657,Bruant jaune,Emberiza citrinella
4665,Bruant ortolan,Emberiza hortulana
2623,Buse variable,Buteo buteo
2996,Caille des blés,Coturnix coturnix
1966,Canard colvert,Anas platyrhynchos
4480,"Cassenoix moucheté, Casse-noix",Nucifraga caryocatactes
4583,Chardonneret élégant,Carduelis carduelis
4485,Chocard à bec jaune,Pyrrhocorax graculus
4494,Choucas des tours,Corvus monedula
2873,Circaète Jean-le-Blanc,Circaetus gallicus
4503,Corneille noire,Corvus corone
3465,Coucou gris,Cuculus canorus
4488,Crave à bec rouge,Pyrrhocorax pyrrhocorax
2669,Faucon crécerelle,Falco tinnunculus
2938,Faucon pèlerin,Falco peregrinus
4257,Fauvette à tête noire,Sylvia atricapilla
1027359,Fauvette babillarde,Curruca curruca
4254,Fauvette des jardins,Sylvia borin
4252,Fauvette grisette,Sylvia communis
1998,Fuligule morillon,Aythya fuligula
4466,Geai des chênes,Garrulus glandarius
4510,Grand corbeau,Corvus corax
3784,Grimpereau des bois,Certhia familiaris
4142,Grive draine,Turdus viscivorus
4129,Grive musicienne,Turdus philomelos
2852,Gypaète barbu,Gypaetus barbatus
459478,Hirondelle de fenêtre,Delichon urbicum
3692,Hirondelle de rochers,Ptyonoprogne rupestris
3696,"Hirondelle rustique, Hirondelle de cheminée",Hirundo rustica
459629,Lagopède alpin,Lagopus muta
889047,Linotte mélodieuse,Linaria cannabina
3561,"Martinet à ventre blanc, Martinet alpin",Tachymarptis melba
4112,Merle à plastron,Turdus torquatus
4117,Merle noir,Turdus merula
534752,Mésange boréale,Poecile montanus
3764,Mésange charbonnière,Parus major
534750,Mésange huppée,Lophophanes cristatus
534751,Mésange noire,Periparus ater
2840,Milan noir,Milvus migrans
2844,Milan royal,Milvus milvus
4084,"Monticole de roche, Merle de roche",Monticola saxatilis
4537,"Niverolle alpine, Niverolle des Alpes",Montifringilla nivalis
186103,Passereaux,Passeriformes
2971,Perdrix bartavelle,Alectoris graeca
3611,Pic épeiche,Dendrocopos major
3608,Pic noir,Dryocopus martius
4474,Pie bavarde,Pica pica
3424,Pigeon ramier,Columba palumbus
4564,Pinson des arbres,Fringilla coelebs
3723,Pipit des arbres,Anthus trivialis
3726,Pipit farlouse,Anthus pratensis
3733,Pipit spioncelle,Anthus spinoletta
4269,Pouillot de Bonelli,Phylloscopus bonelli
4280,Pouillot véloce,Phylloscopus collybita
4308,Roitelet huppé,Regulus regulus
4001,Rougegorge familier,Erithacus rubecula
4040,Rougequeue à front blanc,Phoenicurus phoenicurus
4035,Rougequeue noir,Phoenicurus ochruros
4192,Rousserolle verderolle,Acrocephalus palustris
4571,Serin cini,Serinus serinus
886230,Sizerin cabaret,Acanthis flammea cabaret
4049,"Tarier des prés, Traquet tarier",Saxicola rubetra
199425,Tarier pâtre,Saxicola rubicola
2962,Tétras lyre,Lyrurus tetrix
4064,Traquet motteux,Oenanthe oenanthe
3967,Troglodyte mignon,Troglodytes troglodytes
2860,Vautour fauve,Gyps fulvus
2869,Vautour moine,Aegypius monachus
4576,Venturon montagnard,Carduelis citrinella
3807,Pie-grièche écorcheur,Lanius collurio
2881,Busard Saint-Martin,Circus cyaneus
3670,Alouette lulu,Lullula arborea
2506,Héron cendré,Ardea cinerea
